年分,晶圓尺寸,客戶,產品,站別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2019,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),10124,5835,8068,12252,10960,4964,3332,3711,5674,10661,8632,8659,92872
2019,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),200967,369530,167688,75537,18889,15690,16943,18276,18317,21188,25989,80804,1029818
2019,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),2500,5200,4000,13700,8500,2700,1500,2500,3500,3850,4235,4530,56715
2019,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),15466,22844,20798,18026,19268,21308,21014,19106,18037,19768,21744,23918,241297
2020,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),1373,218,10,7,28,2989,1514,2740,7758,6436,8352,6832,38257
2020,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),9434,5131,5131,5384,4500,4210,7181,6233,5002,8709,6917,7612,75444
2020,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),143894,349952,104571,83656,45640,46287,46158,64194,44918,48213,63944,212252,1253679
2020,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),4757,3806,1522,1066,3000,3500,3600,5214,3000,2600,2000,3000,37065
2020,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),15305,9183,5546,4437,6521,9207,10128,11773,10801,14322,12824,14654,124701
2021,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),1481,200,4206,6926,768,0,0,3,185,4835,,,18604
2021,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),7612,23501,6468,38304,10053,0,50,2420,2100,5467,,,95975
2021,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),282597,374684,44293,8068,2871,17,245,1867,2790,5106,,,722538
2021,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),3500,3500,3500,3005,2103,0,369,878,1572,3210,,,21637
2021,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),10243,14624,9888,12396,3986,0,701,1694,3024,6175,,,62731
